"strategy","day","profit-per-ticket"
"1 ticket(s)",1,-1
"1 ticket(s)",2,-1
"1 ticket(s)",3,-1
"1 ticket(s)",4,-1
"1 ticket(s)",5,-1
"1 ticket(s)",6,-1
"1 ticket(s)",7,-1
"1 ticket(s)",8,-1
"1 ticket(s)",9,-1
"1 ticket(s)",10,-1
"1 ticket(s)",11,-1
"1 ticket(s)",12,-1
"1 ticket(s)",13,-1
"1 ticket(s)",14,-1
"1 ticket(s)",15,-1
"1 ticket(s)",16,-1
"1 ticket(s)",17,-1
"1 ticket(s)",18,-1
"1 ticket(s)",19,-1
"1 ticket(s)",20,-1
"1 ticket(s)",21,-1
"1 ticket(s)",22,-1
"1 ticket(s)",23,-1
"1 ticket(s)",24,-1
"1 ticket(s)",25,-1
"1 ticket(s)",26,-1
"1 ticket(s)",27,-1
"1 ticket(s)",28,-1
"1 ticket(s)",29,-1
"1 ticket(s)",30,-1
"1 ticket(s)",31,-1
"1 ticket(s)",32,-1
"1 ticket(s)",33,-1
"1 ticket(s)",34,-1
"1 ticket(s)",35,-1
"1 ticket(s)",36,-1
"1 ticket(s)",37,-1
"1 ticket(s)",38,-1
"1 ticket(s)",39,-1
"1 ticket(s)",40,-1
"1 ticket(s)",41,-1
"1 ticket(s)",42,-1
"1 ticket(s)",43,-1
"1 ticket(s)",44,-1
"1 ticket(s)",45,-1
"1 ticket(s)",46,-1
"1 ticket(s)",47,-1
"1 ticket(s)",48,-1
"1 ticket(s)",49,-1
"1 ticket(s)",50,-1
"1 ticket(s)",51,-1
"1 ticket(s)",52,-1
"1 ticket(s)",53,-1
"1 ticket(s)",54,-1
"1 ticket(s)",55,-1
"1 ticket(s)",56,-1
"1 ticket(s)",57,-1
"1 ticket(s)",58,-1
"1 ticket(s)",59,-1
"1 ticket(s)",60,-1
"1 ticket(s)",61,-1
"1 ticket(s)",62,-1
"1 ticket(s)",63,-1
"1 ticket(s)",64,-1
"1 ticket(s)",65,-1
"1 ticket(s)",66,-1
"1 ticket(s)",67,-1
"1 ticket(s)",68,-1
"1 ticket(s)",69,-1
"1 ticket(s)",70,-1
"1 ticket(s)",71,-1
"1 ticket(s)",72,-1
"1 ticket(s)",73,-1
"1 ticket(s)",74,-1
"1 ticket(s)",75,-1
"1 ticket(s)",76,-1
"1 ticket(s)",77,-1
"1 ticket(s)",78,-1
"1 ticket(s)",79,49
"1 ticket(s)",80,-1
"1 ticket(s)",81,-1
"1 ticket(s)",82,-1
"1 ticket(s)",83,-1
"1 ticket(s)",84,-1
"1 ticket(s)",85,-1
"1 ticket(s)",86,-1
"1 ticket(s)",87,-1
"1 ticket(s)",88,-1
"1 ticket(s)",89,-1
"1 ticket(s)",90,-1
"1 ticket(s)",91,-1
"1 ticket(s)",92,-1
"1 ticket(s)",93,-1
"1 ticket(s)",94,-1
"1 ticket(s)",95,-1
"1 ticket(s)",96,-1
"1 ticket(s)",97,-1
"1 ticket(s)",98,-1
"1 ticket(s)",99,-1
"1 ticket(s)",100,-1
"1 ticket(s)",101,-1
"1 ticket(s)",102,-1
"1 ticket(s)",103,-1
"1 ticket(s)",104,-1
"1 ticket(s)",105,49
"1 ticket(s)",106,-1
"1 ticket(s)",107,-1
"1 ticket(s)",108,-1
"1 ticket(s)",109,-1
"1 ticket(s)",110,-1
"1 ticket(s)",111,-1
"1 ticket(s)",112,-1
"1 ticket(s)",113,-1
"1 ticket(s)",114,-1
"1 ticket(s)",115,-1
"1 ticket(s)",116,-1
"1 ticket(s)",117,-1
"1 ticket(s)",118,-1
"1 ticket(s)",119,-1
"1 ticket(s)",120,-1
"1 ticket(s)",121,-1
"1 ticket(s)",122,-1
"1 ticket(s)",123,-1
"1 ticket(s)",124,-1
"1 ticket(s)",125,-1
"1 ticket(s)",126,-1
"1 ticket(s)",127,-1
"1 ticket(s)",128,-1
"1 ticket(s)",129,-1
"1 ticket(s)",130,-1
"1 ticket(s)",131,-1
"1 ticket(s)",132,-1
"1 ticket(s)",133,-1
"1 ticket(s)",134,-1
"1 ticket(s)",135,-1
"1 ticket(s)",136,-1
"1 ticket(s)",137,-1
"1 ticket(s)",138,-1
"1 ticket(s)",139,-1
"1 ticket(s)",140,-1
"1 ticket(s)",141,-1
"1 ticket(s)",142,-1
"1 ticket(s)",143,-1
"1 ticket(s)",144,-1
