"treatment","more_less","n_breeds","class","section"
82,"More",200,"FA25",NA
82,"Less",20,"FA25",NA
82,"More",350,"FA25",NA
531,"More",800,"FA25",NA
531,"Less",274,"FA25",NA
531,"Less",75,"FA25",NA
82,"More",160,"FA25",NA
82,"More",213,"FA25",NA
531,"Less",350,"FA25",NA
531,"Less",150,"FA25",NA
82,"More",307,"FA25",NA
531,"More",500,"FA25",NA
82,"More",104,"FA25",NA
82,"More",360,"FA25",NA
82,"Less",50,"FA25",NA
82,"More",150,"FA25",NA
531,"Less",200,"FA25",NA
82,"Less",70,"FA25",NA
82,"More",82,"FA25",NA
531,"Less",200,"FA25",NA
531,"Less",346,"FA25",NA
531,"Less",50,"FA25",NA
531,"More",600,"FA25",NA
531,"More",1500,"FA25",NA
82,"More",150,"FA25",NA
82,"More",121,"FA25",NA
531,"More",5000,"FA25",NA
531,"More",550,"FA25",NA
531,"Less",410,"FA25",NA
531,"Less",400,"FA25",NA
82,"More",267,"FA25",NA
531,"More",700,"FA25",NA
82,"More",156,"FA25",NA
82,"Less",57,"FA25",NA
531,"Less",435,"FA25",NA
531,"Less",200,"FA25",NA
531,"Less",400,"FA25",NA
82,"Less",65,"FA25",NA
82,"More",120,"FA25",NA
531,"More",540,"FA25",NA
82,"More",300,"FA25",NA
531,"Less",150,"FA25",NA
531,"More",1200,"FA25",NA
531,"More",600,"FA25",NA
531,"More",800,"FA25",NA
531,"Less",350,"FA25",NA
82,"Less",78,"FA25",NA
82,"More",1000,"FA25",NA
531,"More",600,"SP26","9-10:20"
82,"More",200,"SP26","9-10:20"
82,"More",5000,"SP26","9-10:20"
82,"More",85,"SP26","9-10:20"
531,"Less",327,"SP26","9-10:20"
82,"Less",50,"SP26","9-10:20"
82,"More",120,"SP26","9-10:20"
82,"More",135,"SP26","9-10:20"
531,"Less",210,"SP26","9-10:20"
82,"More",102,"SP26","9-10:20"
531,"Less",150,"SP26","9-10:20"
531,"Less",342,"SP26","9-10:20"
531,"More",1200,"SP26","9-10:20"
531,"More",600,"SP26","9-10:20"
82,"More",130,"SP26","9-10:20"
82,"More",300,"SP26","9-10:20"
82,"More",200,"SP26","9-10:20"
531,"More",2000,"SP26","9-10:20"
82,"More",200,"SP26","10:30-11:50"
531,"Less",210,"SP26","10:30-11:50"
82,"More",300,"SP26","10:30-11:50"
531,"More",10000,"SP26","10:30-11:50"
531,"More",600,"SP26","10:30-11:50"
82,"More",5000,"SP26","10:30-11:50"
82,"More",150,"SP26","10:30-11:50"
82,"More",350,"SP26","10:30-11:50"
82,"More",800,"SP26","10:30-11:50"
531,"More",2000,"SP26","10:30-11:50"
531,"Less",120,"SP26","10:30-11:50"
531,"Less",150,"SP26","10:30-11:50"
531,"More",700,"SP26","10:30-11:50"
82,"More",195,"SP26","10:30-11:50"
531,"More",534,"SP26","10:30-11:50"
531,"More",700,"SP26","10:30-11:50"
531,"Less",50,"SP26","10:30-11:50"
82,"Less",50,"SP26","10:30-11:50"
531,"More",1500,"SP26","10:30-11:50"
82,"More",300,"SP26","1:40-3"
531,"More",800,"SP26","1:40-3"
82,"More",500,"SP26","1:40-3"
82,"More",100,"SP26","1:40-3"
531,"Less",350,"SP26","1:40-3"
531,"More",800,"SP26","1:40-3"
531,"Less",150,"SP26","1:40-3"
531,"More",700,"SP26","1:40-3"
531,"Less",200,"SP26","1:40-3"
82,"More",300,"SP26","1:40-3"
82,"More",100,"SP26","1:40-3"
82,"More",150,"SP26","1:40-3"
531,"More",700,"SP26","1:40-3"
82,"Less",67,"SP26","1:40-3"
