Sample_date,Station,Copies_per_mL,Seven_day_avg
2020-03-01,Southern,NA,NA
2020-03-01,Northern,NA,NA
2020-03-02,Southern,NA,NA
2020-03-02,Northern,NA,NA
2020-03-03,Southern,NA,NA
2020-03-03,Northern,NA,NA
2020-03-04,Southern,NA,NA
2020-03-04,Northern,NA,NA
2020-03-05,Southern,NA,NA
2020-03-05,Northern,NA,NA
2020-03-06,Southern,NA,NA
2020-03-06,Northern,NA,NA
2020-03-07,Southern,NA,NA
2020-03-07,Northern,NA,NA
2020-03-08,Southern,NA,NA
2020-03-08,Northern,NA,NA
2020-03-09,Southern,NA,NA
2020-03-09,Northern,29,NA
2020-03-10,Southern,38,NA
2020-03-10,Northern,15,21
2020-03-11,Southern,31,34
2020-03-11,Northern,65,31
2020-03-12,Southern,25,31
2020-03-12,Northern,36,32
2020-03-13,Southern,NA,31
2020-03-13,Northern,NA,32
2020-03-14,Southern,16,26
2020-03-14,Northern,27,31
2020-03-15,Southern,39,28
2020-03-15,Northern,53,34
2020-03-16,Southern,33,29
2020-03-16,Northern,23,32
2020-03-17,Southern,106,35
2020-03-17,Northern,78,43
2020-03-18,Southern,65,39
2020-03-18,Northern,45,40
2020-03-19,Southern,19,37
2020-03-19,Northern,49,42
2020-03-20,Southern,NA,37
2020-03-20,Northern,NA,42
2020-03-21,Southern,NA,44
2020-03-21,Northern,NA,46
2020-03-22,Southern,NA,45
2020-03-22,Northern,NA,45
2020-03-23,Southern,146,66
2020-03-23,Northern,380,90
2020-03-24,Southern,NA,56
2020-03-24,Northern,321,129
2020-03-25,Southern,30,43
2020-03-25,Northern,228,192
2020-03-26,Southern,370,117
2020-03-26,Northern,39,182
2020-03-27,Southern,34,86
2020-03-27,Northern,299,201
2020-03-28,Southern,NA,86
2020-03-28,Northern,NA,201
2020-03-29,Southern,NA,86
2020-03-29,Northern,NA,201
2020-03-30,Southern,46,64
2020-03-30,Northern,219,180
2020-03-31,Southern,NA,64
2020-03-31,Northern,NA,155
2020-04-01,Southern,143,95
2020-04-01,Northern,475,187
2020-04-02,Southern,NA,61
2020-04-02,Northern,NA,315
2020-04-03,Southern,233,116
2020-04-03,Northern,438,357
2020-04-04,Southern,NA,116
2020-04-04,Northern,NA,357
2020-04-05,Southern,NA,116
2020-04-05,Northern,NA,357
2020-04-06,Southern,NA,182
2020-04-06,Northern,NA,456
2020-04-07,Southern,310,218
2020-04-07,Northern,562,489
2020-04-08,Southern,NA,269
2020-04-08,Northern,NA,496
2020-04-09,Southern,501,331
2020-04-09,Northern,784,578
2020-04-10,Southern,NA,394
2020-04-10,Northern,NA,664
2020-04-11,Southern,NA,394
2020-04-11,Northern,NA,664
2020-04-12,Southern,NA,394
2020-04-12,Northern,NA,664
2020-04-13,Southern,NA,394
2020-04-13,Northern,NA,664
2020-04-14,Southern,389,441
2020-04-14,Northern,702,742
2020-04-15,Southern,NA,441
2020-04-15,Northern,NA,742
2020-04-16,Southern,138,232
2020-04-16,Northern,321,474
2020-04-17,Southern,164,206
2020-04-17,Northern,360,433
2020-04-18,Southern,NA,206
2020-04-18,Northern,NA,433
2020-04-19,Southern,NA,206
2020-04-19,Northern,NA,433
2020-04-20,Southern,NA,206
2020-04-20,Northern,NA,433
2020-04-21,Southern,NA,150
2020-04-21,Northern,NA,340
2020-04-22,Southern,220,171
2020-04-22,Northern,541,397
2020-04-23,Southern,179,186
2020-04-23,Northern,283,381
2020-04-24,Southern,NA,199
2020-04-24,Northern,NA,391
2020-04-25,Southern,NA,199
2020-04-25,Northern,NA,391
2020-04-26,Southern,NA,199
2020-04-26,Northern,NA,391
2020-04-27,Southern,130,173
2020-04-27,Northern,NA,391
2020-04-28,Southern,97,149
2020-04-28,Northern,293,355
2020-04-29,Southern,NA,131
2020-04-29,Northern,NA,288
2020-04-30,Southern,NA,112
2020-04-30,Northern,NA,293
2020-05-01,Southern,NA,112
2020-05-01,Northern,NA,293
2020-05-02,Southern,NA,112
2020-05-02,Northern,NA,293
2020-05-03,Southern,209,138
2020-05-03,Northern,93,165
2020-05-04,Southern,NA,142
2020-05-04,Northern,NA,165
2020-05-05,Southern,97,142
2020-05-05,Northern,94,94
2020-05-06,Southern,5,47
2020-05-06,Northern,22,58
2020-05-07,Southern,NA,47
2020-05-07,Northern,NA,58
2020-05-08,Southern,NA,47
2020-05-08,Northern,NA,58
2020-05-09,Southern,NA,47
2020-05-09,Northern,NA,58
2020-05-10,Southern,NA,22
2020-05-10,Northern,NA,46
2020-05-11,Southern,164,43
2020-05-11,Northern,NA,46
2020-05-12,Southern,NA,29
2020-05-12,Northern,NA,22
2020-05-13,Southern,NA,NA
2020-05-13,Northern,NA,NA
2020-05-14,Southern,NA,NA
2020-05-14,Northern,NA,NA
2020-05-15,Southern,NA,NA
2020-05-15,Northern,NA,NA
2020-05-16,Southern,NA,NA
2020-05-16,Northern,NA,NA
2020-05-17,Southern,NA,NA
2020-05-17,Northern,NA,NA
2020-05-18,Southern,NA,NA
2020-05-18,Northern,NA,NA
2020-05-19,Southern,NA,NA
2020-05-19,Northern,NA,NA
2020-05-20,Southern,NA,NA
2020-05-20,Northern,NA,NA
2020-05-21,Southern,82,NA
2020-05-21,Northern,42,NA
2020-05-22,Southern,426,NA
2020-05-22,Northern,244,NA
2020-05-23,Southern,77,NA
2020-05-23,Northern,69,NA
2020-05-24,Southern,79,121
2020-05-24,Northern,52,78
2020-05-25,Southern,66,107
2020-05-25,Northern,42,69
2020-05-26,Southern,97,105
2020-05-26,Northern,38,62
2020-05-27,Southern,197,115
2020-05-27,Northern,81,65
2020-05-28,Southern,50,107
2020-05-28,Northern,35,63
2020-05-29,Southern,28,73
2020-05-29,Northern,49,50
2020-05-30,Southern,66,71
2020-05-30,Northern,NA,47
2020-05-31,Southern,79,71
2020-05-31,Northern,37,45
