"movie","year","profit","production_budget","vote_average"
"Super 8",2011,207972745,50000000,6.7
"Johnny English Reborn",2011,119640401,45000000,6.1
"Oblivion",2013,167916633,120000000,6.5
"The Upside",2019,81524536,37500000,7.3
"Passengers",2016,192239672,110000000,6.8
"The Best Exotic Marigold Hotel",2012,124639780,10000000,6.9
"Nowhere Boy",2010,5885229,1900000,7.3
"The Visit",2015,93677816,5000000,6.2
"The Spy Next Door",2010,18752858,28000000,5.7
"Looper",2012,140466405,30000000,6.8
"Legend",2015,17425450,25000000,6.8
"Action Jackson",1988,13257000,7000000,5.2
"A Haunted House",2013,57422558,2500000,5.5
"Mud",2013,21556959,10000000,7
"Gone Girl",2014,307567189,61000000,7.9
"Cyrus",2010,3062896,7000000,6
"The Woman in Black",2012,113955898,15000000,6.1
"Men in Black 3",2012,439213485,215000000,6.4
"Paul Blart: Mall Cop 2",2015,69650646,38000000,5
"Cloud Atlas",2012,28673154,102000000,6.8
"Good Will Hunting",1997,215925989,10000000,8.1
"Flight",2012,129558438,31000000,6.7
"12 Strong",2018,36118378,35000000,5.6
"Edge of Darkness",2010,22812456,60000000,6.3
"End of Watch",2012,42586606,15000000,7.3
"Blue Valentine",2010,15566240,1000000,6.9
"Identity Thief",2013,140361578,35000000,5.8
"Hacksaw Ridge",2016,128904682,40000000,8.1
"Paper Towns",2015,73450484,12000000,6
"Lady Bird",2017,68610769,10000000,7.3
"Paranormal Activity: The Marked Ones",2014,85904854,5000000,5.3
"If I Stay",2014,67356170,11000000,7.4
"The Disaster Artist",2017,18717667,10000000,7.2
"Minions",2015,1086336173,74000000,6.4
"Filly Brown",2013,1690411,1250000,6.5
"Sherlock Holmes: A Game of Shadows",2011,410663443,125000000,7.1
"Lemony Snicket's A Series of Unfortunate Events",2004,112956024,100000000,6.8
"Step Up Revolution",2012,132552290,33000000,6.8
"Edge of Tomorrow",2014,192541256,178000000,7.6
"Big Mommas: Like Father, Like Son",2011,50332450,32000000,5.5
"Rango",2011,110724600,135000000,6.6
"The Ides of March",2011,54735925,23000000,6.7
"One Day",2011,44168692,15000000,7.2
"Puss in Boots",2011,424987477,130000000,6.3
"The Little Prince",2016,24528919,77500000,7.6
"Alvin and the Chipmunks: Chipwrecked",2011,269088523,80000000,5.5
"X-Men: Days of Future Past",2014,547862775,200000000,7.5
"Into the Storm",2014,100429371,50000000,5.8
"Doctor Strange",2016,511404566,165000000,7.3
"Storks",2016,113353431,70000000,6.5
"The Master",2012,13147416,37500000,7.1
"Grave Encounters",2011,151887,2000000,6.2
"You Again",2010,12838945,20000000,6.2
"The Conjuring",2013,298000141,20000000,7.5
"Blade",1998,86237688,45000000,6.6
"Toy Story",1995,334545516,30000000,7.9
"Before I Fall",2017,13945682,5000000,7
"Tammy",2014,76407655,20000000,5.2
"The Mortal Instruments: City of Bones",2013,15965567,60000000,6.3
"Toy Story 3",2010,868879522,200000000,7.7
"Mechanic: Resurrection",2016,69738840,40000000,5.6
"Captain America: Civil War",2016,890069413,250000000,7.4
"Jupiter Ascending",2015,2982519,179000000,5.3
"Why Did I Get Married Too?",2010,40831067,20000000,5.9
"Alpha",2018,48624873,51000000,5.9
"Bachelorette",2012,9577401,3000000,5.4
"Quartet",2013,45178935,11000000,6.6
"Magic Mike",2012,163549753,7000000,6.1
"Hot Tub Time Machine",2010,29967750,36000000,6
"Crocodile Dundee",1986,319403506,8800000,6.3
"Journey 2: The Mysterious Island",2012,239146162,79000000,5.9
"Money Monster",2016,66466095,27000000,6.4
"The Last Airbender",2010,169713881,150000000,4.6
"The Witch",2016,36954520,3500000,6.6
"Ride Along 2",2016,84827316,40000000,6.2
"Hugo",2011,47784,180000000,7.1
"Beyond the Lights",2014,7618727,7000000,7
"Frances Ha",2013,8262769,3000000,7.4
"Teenage Mutant Ninja Turtles",2014,360004754,125000000,5.8
"Fast Times at Ridgemont High",1982,22592880,4500000,6.9
"The Meddler",2016,2326942,3200000,5.8
"The Campaign",2012,9907746,95000000,5.7
"Letters to Juliet",2010,52148538,30000000,6.9
"Lincoln",2012,208346281,65000000,6.8
"Nocturnal Animals",2016,9898681,22500000,7.4
"Madagascar 3: Europe's Most Wanted",2012,601921271,145000000,6.5
"Terminator 2: Judgment Day",1991,415419827,100000000,7.9
"The Lucky One",2012,71633833,25000000,6.9
"Jobs",2013,25402515,18000000,6.1
"Halloween",2018,244900667,10000000,6.4
"St. Vincent",2014,41837234,13000000,7.1
"The Secret Life of Walter Mitty",2013,96861183,91000000,7.1
"Drive",2011,66357930,15000000,7.5
"The Babadook",2014,5482387,2000000,6.4
"Step Up 3D",2010,135889117,30000000,6.7
"Lucy",2014,417507776,40000000,6.3
"Home",2015,255997896,130000000,6.8
"Brick Mansions",2014,45421224,28000000,5.9
"Vampires Suck",2010,61424988,20000000,4.1
"Avatar",2009,2351345279,425000000,7.4
