year,happy,satisfied_life,satisfied_somerville,age,children_home,ward,precinct,student,convenient_transport,direction_somerville,housing,primary_transport,lived_here
2015,5,9,6,6599974,No,3,2,No,NA,NA,Rent,Multiple Modes,21
2015,10,10,10,5599964,No,3,1,No,NA,NA,Own,Multiple Modes,21
2015,10,10,2,6599974,No,999,999,999,NA,NA,Own,Multiple Modes,21
2015,7,7,7,6599974,No,7,1,No,NA,NA,Own,Multiple Modes,21
2015,10,10,10,NA,No,3,3,No,NA,NA,Own,Multiple Modes,21
2015,7,7,8,2599934,No,2,1,No,NA,NA,Rent,Multiple Modes,0
2015,8,8,8,5599964,No,3,1,No,NA,NA,Own,Multiple Modes,21
2015,9,8,9,2599934,No,5,3,No,NA,NA,Rent,Multiple Modes,0
2015,6,6,8,5599964,No,1,3,No,NA,NA,Rent,Multiple Modes,21
2015,9,10,10,2599934,No,6,3,No,NA,NA,Rent,Multiple Modes,0
2015,9,7,9,2599934,No,3,3,No,NA,NA,Rent,Multiple Modes,0
2015,9,9,9,2599934,No,3,2,No,NA,NA,Rent,Multiple Modes,0
2015,6,8,9,2599934,No,3,3,Yes,NA,NA,Rent,Multiple Modes,0
2015,9,9,10,4599954,No,2,2,No,NA,NA,Own,Multiple Modes,21
2015,1,10,1,6599974,No,999,999,No,NA,NA,Own,Multiple Modes,21
2015,7,7,9,NA,No,4,3,No,NA,NA,Own,Multiple Modes,21
2015,8,10,10,6599974,No,2,3,No,NA,NA,Own,Multiple Modes,21
2015,5,5,5,NA,No,6,1,No,NA,NA,Own,Multiple Modes,21
2015,8,8,8,6599974,No,3,3,No,NA,NA,Own,Multiple Modes,21
2015,10,10,10,6599974,No,7,3,No,NA,NA,Rent,Multiple Modes,21
2015,9,9,9,NA,No,6,2,No,NA,NA,Own,Multiple Modes,21
2015,5,7,6,5599964,No,5,2,No,NA,NA,Own,Multiple Modes,21
2015,8,7,8,5599964,Yes,5,1,No,NA,NA,Rent,Multiple Modes,21
2015,7,7,8,1899924,No,2,1,No,NA,NA,Rent,Multiple Modes,0
2015,9,7,5,2599934,No,3,1,No,NA,NA,Rent,Multiple Modes,0
2015,10,10,6,5599964,No,4,2,No,NA,NA,Own,Multiple Modes,21
2015,6,7,6,4599954,Yes,7,1,No,NA,NA,Own,Multiple Modes,21
2015,10,10,10,5599964,Yes,999,999,No,NA,NA,Own,Multiple Modes,21
2015,5,3,8,1899924,No,2,3,No,NA,NA,Rent,Multiple Modes,0
2015,9,9,9,2599934,No,6,2,No,NA,NA,Rent,Multiple Modes,0
2015,8,8,9,1899924,No,7,3,No,NA,NA,Rent,Multiple Modes,0
2015,8,8,9,5599964,No,7,1,No,NA,NA,Own,Multiple Modes,21
2015,10,10,10,6599974,No,7,2,No,NA,NA,Rent,Multiple Modes,21
2015,10,10,10,4599954,No,1,1,No,NA,NA,Own,Multiple Modes,21
2015,7,7,7,3599944,No,3,3,No,NA,NA,Rent,Multiple Modes,0
2015,999,999,9,1899924,No,2,3,Yes,NA,NA,Rent,Multiple Modes,0
2015,9,9,9,3599944,No,6,1,No,NA,NA,Rent,Multiple Modes,0
