id,geese,cat
5,C,Indoor
7,D,NA
48,NA,Indoor
22,C,NA
32,D,Indoor
6,C,NA
26,A,Indoor
1,A,NA
23,D,Indoor
39,D,Outdoor 
41,A,Indoor
46,B,NA
3,C,NA
8,A,Indoor
21,D,Outdoor
36,D ,Indoor 
38,A,Indoor
50,NA,Outdoor 
12,C,Indoor
31,A,NA
24,C,NA
10,A,Indoor
15,A,Indoor
14,C,Indoor
28,A,NA
44,B,Indoor
47,NA,Outdoor
34,D,Indoor
51,NA,Indoor
25,C,Indoor
9,B,outdoor
2,B,Indoor
27,B,outdoor
35,C,Indoor
33,A,indoor
18,D,outdoor
17,A,Indoor
49,NA,Outdoor
40,C,outdoor
37,C,Indoor
20,C,outdoor
16,C,indoor
43,C,NA
52,NA,Outdoor
13,D,Indoor 
11,B,Outdoor 
29,B,indoor
19,D,indoor 
4,D,outdoor
30,D,Indoor
42,A,NA
45,NA,NA
