Timestamp,clean-answer
1/28/26 9:53,don't drink these
1/28/26 9:54,papacchinos
1/28/26 9:54,less and more
1/28/26 9:54,don't go out for this
1/28/26 9:54,woodstock cafe
1/28/26 9:54,don't go out for this
1/28/26 9:55,black rock coffee
1/28/26 9:55,don't go out for this
1/28/26 9:55,don't go out for this
1/28/26 9:56,soro soro
1/28/26 9:56,portal tea
1/28/26 9:57,harder day
1/28/26 9:57,broken robot
1/28/26 9:57,wind horse
1/28/26 9:57,heretic
1/28/26 9:57,don't drink these
1/28/26 9:57,ca phe
1/28/26 9:58,broken robot
1/28/26 9:58,ca phe
1/28/26 9:58,ca phe
1/28/26 9:58,little t bakery
1/28/26 9:58,harder day
1/28/26 9:58,papacchinos
1/28/26 9:59,keeper
1/28/26 9:59,don't drink these
1/28/26 9:59,trader joes
1/28/26 9:59,keeper
1/28/26 10:00,floyd's coffee bar
1/28/26 10:00,don't know
1/28/26 10:01,don't drink these
1/28/26 11:04,papacchinos
1/28/26 11:57,keeper
1/28/26 11:57,haven't had good coffee in portland
1/28/26 11:57,dutch bros
1/28/26 11:57,portal tea
1/28/26 11:57,papacchinos
1/28/26 11:57,yoonique
1/28/26 11:57,star trek themed coffee up north (now closed)
1/28/26 11:57,portal tea
1/28/26 11:57,ca phe
1/28/26 11:57,harder day
1/28/26 11:57,portal tea
1/28/26 11:58,safeway
1/28/26 11:58,heart
1/28/26 11:58,portal tea
1/28/26 11:58,papacchinos
1/28/26 11:58,keeper
1/28/26 11:59,stumptown
1/28/26 11:59,keeper
1/28/26 12:00,don't know
1/28/26 12:00,canyon cafe
1/28/26 12:00,papacchinos
1/28/26 12:00,portal tea
1/28/26 12:01,behind the museum cafe
1/28/26 12:01,tov
1/28/26 12:01,rose city coffee
1/28/26 12:01,ca phe
1/28/26 12:02,don't drink these
1/28/26 12:03,don't go out for this
1/28/26 12:03,ca phe
