Lab assignments for this course have been ________ for my learning,Homework assignments for this course have been ________ for my learning,Reading assignments for this course have been ________ for my learning,Instructor office hours for this course have been ________ for my learning,Course assistant office hours for this course have been ________ for my learning,How has the workload been for the course so far?
Very helpful,Very helpful,Neutral,Very helpful,Haven't attended,Just the right amount of work
Very helpful,Very helpful,I haven't been doing the readings,Haven't attended,Haven't attended,A little too much work
Somewhat unhelpful,Somewhat helpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Just the right amount of work
Somewhat helpful,Somewhat helpful,Somewhat helpful,Very helpful,Haven't attended,A little too much work
Very helpful,Very helpful,I haven't been doing the readings,Very helpful,Haven't attended,Just the right amount of work
Very helpful,Very helpful,Somewhat helpful,Haven't attended,Haven't attended,A little too much work
Somewhat helpful,Somewhat helpful,Neutral,Haven't attended,Haven't attended,Just the right amount of work
Somewhat helpful,Somewhat helpful,Somewhat unhelpful,Haven't attended,Very helpful,A little too much work
Very helpful,Somewhat helpful,Neutral,Haven't attended,Haven't attended,Way too much work
Very helpful,Very helpful,Very helpful,Haven't attended,Haven't attended,A little too much work
Somewhat unhelpful,Somewhat unhelpful,Neutral,Neutral,Neutral,Way too much work
Somewhat helpful,Somewhat helpful,I haven't been doing the readings,Haven't attended,Haven't attended,A little too much work
Somewhat helpful,Somewhat helpful,I haven't been doing the readings,Haven't attended,Haven't attended,Way too much work
Somewhat helpful,Somewhat helpful,Somewhat unhelpful,Very helpful,Very helpful,A little too much work
Very helpful,Somewhat helpful,I haven't been doing the readings,Haven't attended,Haven't attended,A little too much work
Very helpful,Somewhat helpful,Somewhat helpful,Neutral,Neutral,Just the right amount of work
Somewhat helpful,Somewhat helpful,Somewhat unhelpful,Haven't attended,Haven't attended,A little too much work
Somewhat helpful,Somewhat helpful,Neutral,Somewhat helpful,Haven't attended,Just the right amount of work
Very helpful,Very helpful,I haven't been doing the readings,Haven't attended,Haven't attended,Just the right amount of work
Very helpful,Somewhat helpful,Neutral,Neutral,Neutral,A little too much work
Somewhat helpful,Neutral,I haven't been doing the readings,Haven't attended,Haven't attended,A little too much work
Somewhat helpful,Neutral,Very helpful,Very helpful,Very helpful,A little too much work
Very helpful,Very helpful,Somewhat helpful,Very helpful,Haven't attended,Just the right amount of work
Somewhat helpful,Somewhat helpful,Somewhat unhelpful,Haven't attended,Haven't attended,A little too much work
Neutral,Neutral,Somewhat unhelpful,Haven't attended,Haven't attended,Way too much work
Somewhat helpful,Very helpful,I haven't been doing the readings,Haven't attended,Very helpful,A little too much work
Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Neutral,Way too much work
Somewhat helpful,Very helpful,Neutral,Haven't attended,Haven't attended,A little too much work
Very helpful,Very helpful,I haven't been doing the readings,Haven't attended,Haven't attended,A little too much work
Somewhat helpful,Somewhat helpful,Neutral,Haven't attended,Haven't attended,A little too much work
Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Just the right amount of work
Neutral,Neutral,Somewhat unhelpful,Neutral,Neutral,A little too much work
Very helpful,Somewhat helpful,Somewhat helpful,Haven't attended,Haven't attended,A little too much work
