"Overall, how do you feel about the pace of the course?",How has the workload been for the course so far?,Lab assignments for this course have been ________ for my learning,Homework assignments for this course have been ________ for my learning,How have you found the quizzes to be so far?,Instructor office hours for this course have been ________ for my learning,Course assistant office hours for this course have been ________ for my learning
Things are moving too fast,Just the right amount of work,Neutral,Neutral,Somewhat challenging,Haven't attended,Somewhat unhelpful
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Neutral,Somewhat challenging,Neutral,Neutral
Things are moving too fast,A little too much work,Somewhat helpful,Somewhat helpful,Neutral,Somewhat helpful,Haven't attended
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Neutral,Somewhat challenging,Somewhat helpful,Somewhat helpful
Things are moving at a good pace,Just the right amount of work,Neutral,Somewhat helpful,Very challenging,Somewhat helpful,Haven't attended
Things are moving at a good pace,A little too much work,Very helpful,Somewhat helpful,Somewhat challenging,Very helpful,Haven't attended
Things are moving at a good pace,A little too much work,Somewhat helpful,Very helpful,Neutral,Very helpful,Haven't attended
Things are moving at a good pace,A little too much work,Very helpful,Somewhat helpful,Somewhat challenging,Haven't attended,Haven't attended
Things are moving too fast,A little too much work,Very helpful,Very helpful,Somewhat challenging,Haven't attended,Very helpful
Things are moving at a good pace,Just the right amount of work,Very helpful,Very helpful,Somewhat challenging,Haven't attended,Haven't attended
Things are moving at a good pace,Just the right amount of work,Very helpful,Neutral,Somewhat challenging,Neutral,Neutral
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Very helpful,Somewhat challenging,Haven't attended,Haven't attended
Things are moving at a good pace,Not quite enough work,Somewhat helpful,Somewhat helpful,Somewhat easy,Very helpful,Haven't attended
Things are moving at a good pace,Just the right amount of work,Very helpful,Very helpful,Neutral,Very helpful,Very helpful
Things are moving at a good pace,A little too much work,Somewhat helpful,Neutral,Somewhat challenging,Haven't attended,Haven't attended
Things are moving at a good pace,Just the right amount of work,Very helpful,Very helpful,Somewhat easy,Very helpful,Very helpful
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Somewhat helpful,Very challenging,Neutral,Neutral
Things are moving too slow,Just the right amount of work,Somewhat unhelpful,Very unhelpful,Somewhat easy,Somewhat helpful,Haven't attended
Things are moving at a good pace,Just the right amount of work,Very helpful,Somewhat helpful,Somewhat easy,Haven't attended,Haven't attended
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Very helpful,Neutral,Neutral,Neutral
Things are moving too slow,Just the right amount of work,Very helpful,Very helpful,Somewhat easy,Very helpful,Very helpful
Things are moving too fast,Just the right amount of work,Somewhat helpful,Very helpful,Very challenging,Very helpful,Very helpful
Things are moving at a good pace,Just the right amount of work,Very helpful,Very helpful,Neutral,Haven't attended,Haven't attended
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Somewhat helpful,Neutral,Haven't attended,Haven't attended
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Somewhat helpful,Neutral,Haven't attended,Haven't attended
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Neutral,Somewhat challenging,Haven't attended,Haven't attended
Things are moving at a good pace,Just the right amount of work,Very helpful,Somewhat helpful,Somewhat challenging,Haven't attended,Haven't attended
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Somewhat helpful,Neutral,Somewhat helpful,Haven't attended
Things are moving too fast,A little too much work,Somewhat unhelpful,Somewhat helpful,Neutral,Haven't attended,Haven't attended
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Somewhat helpful,Somewhat easy,Haven't attended,Haven't attended
Things are moving too fast,Just the right amount of work,Somewhat helpful,Very helpful,Somewhat challenging,Somewhat helpful,Neutral
Things are moving too fast,A little too much work,Somewhat unhelpful,Neutral,Very challenging,Haven't attended,Haven't attended
Things are moving at a good pace,A little too much work,Somewhat helpful,Very helpful,Neutral,Very helpful,Haven't attended
Things are moving too fast,Way too much work,Neutral,Somewhat helpful,Neutral,Very helpful,Very helpful
Things are moving at a good pace,A little too much work,Very helpful,Somewhat helpful,Neutral,Haven't attended,Very helpful
Things are moving too fast,A little too much work,Very helpful,Somewhat helpful,Somewhat challenging,Somewhat helpful,Somewhat helpful
Things are moving too fast,Not quite enough work,Somewhat helpful,Somewhat helpful,Somewhat challenging,Haven't attended,Haven't attended
Things are moving at a good pace,A little too much work,Somewhat unhelpful,Somewhat helpful,Neutral,Neutral,Very helpful
Things are moving at a good pace,Just the right amount of work,Somewhat helpful,Somewhat helpful,Neutral,Haven't attended,Haven't attended
