Timestamp,Cleaned,Notes,Section
1/30/26 9:54,yes,,S01
1/30/26 9:54,yes,,S01
1/30/26 9:54,yes,,S01
1/30/26 9:54,no preference,,S03
1/30/26 9:54,yes,,S01
1/30/26 9:54,no,,S03
1/30/26 9:55,no,,S01
1/30/26 9:55,yes,,S03
1/30/26 9:55,yes,,S03
1/30/26 9:55,yes,,S02
1/30/26 9:55,no,,S03
1/30/26 9:55,no,,S02
1/30/26 9:55,no,,S03
1/30/26 9:55,no,,S01
1/30/26 9:55,yes,,S01
1/30/26 9:56,yes,,S02
1/30/26 9:57,yes,,S02
1/30/26 9:57,yes,,S02
1/30/26 9:57,yes,lofi/instrumental only,S03
1/30/26 9:57,yes,,S02
1/30/26 9:58,yes,,S02
1/30/26 9:58,yes,,S02
1/30/26 9:59,no,,S03
1/30/26 9:59,no,,S13
1/30/26 9:59,yes,,S02
1/30/26 9:59,no,,S01
1/30/26 10:00,yes,,S03
1/30/26 10:00,yes,,S12
1/30/26 10:02,yes,,S02
1/30/26 10:02,no,prefers headphones,S02
1/30/26 10:46,yes,,S02
1/30/26 11:55,yes,,S12
1/30/26 11:55,yes,,S11
1/30/26 11:55,yes,,S11
1/30/26 11:55,yes,,S12
1/30/26 11:56,no,,S11
1/30/26 11:56,yes,,S11
1/30/26 11:56,no,,S11
1/30/26 11:56,yes,,S12
1/30/26 11:56,no,,S12
1/30/26 11:56,yes,prefers headphones,S13
1/30/26 11:56,no,,S13
1/30/26 11:57,yes,,S12
1/30/26 11:57,no,easily distracted,S13
1/30/26 11:57,yes,lofi/instrumental only,S13
1/30/26 11:57,no,easily distracted,S11
1/30/26 11:58,no,prefers headphones,S13
1/30/26 11:58,yes,prefers headphones,S11
1/30/26 11:58,yes,,S13
1/30/26 11:59,yes,,S11
1/30/26 11:59,yes,,S12
1/30/26 11:59,no,prefers headphones,S12
1/30/26 12:00,yes,,S11
1/30/26 12:01,no,,S13
